,2006-10-01 to 2007-09-29,2007-09-30 to 2008-09-27,2008-09-28 to 2009-09-26,2008-09-28 to 2008-12-27,2008-12-28 to 2009-03-28,2009-03-29 to 2009-06-27,2009-06-28 to 2009-09-26,2009-09-27 to 2009-12-26,2009-09-27 to 2010-09-25,2009-12-27 to 2010-03-27,2010-03-28 to 2010-06-26,2010-06-27 to 2010-09-25,2010-09-26 to 2010-12-25,2010-09-26 to 2011-09-24,2010-12-26 to 2011-03-26,2011-03-27 to 2011-06-25,2011-06-26 to 2011-09-24,2011-09-25 to 2011-12-31,2011-09-25 to 2012-09-29,2012-01-01 to 2012-03-31,2012-04-01 to 2012-06-30,2012-07-01 to 2012-09-29,2012-09-30 to 2012-12-29,2012-09-30 to 2013-09-28,2012-12-30 to 2013-03-30,2013-03-31 to 2013-06-29,2013-06-30 to 2013-09-28,2013-09-29 to 2013-12-28,2013-09-29 to 2014-09-27,2013-12-29 to 2014-03-29,2014-03-30 to 2014-06-28,2014-06-29 to 2014-09-27,2014-09-28 to 2014-12-27,2014-09-28 to 2015-09-26,2014-12-28 to 2015-03-28,2015-03-29 to 2015-06-27,2015-06-28 to 2015-09-26,2015-09-27 to 2015-12-26,2015-09-27 to 2016-09-24,2015-12-27 to 2016-03-26,2016-03-27 to 2016-06-25,2016-06-26 to 2016-09-24,2016-09-25 to 2016-12-31,2016-09-25 to 2017-09-30,2017-01-01 to 2017-04-01,2017-04-02 to 2017-07-01,2017-07-02 to 2017-09-30,2017-10-01 to 2017-12-30,2017-10-01 to 2018-09-29,2017-12-31 to 2018-03-31,2018-04-01 to 2018-06-30,2018-07-01 to 2018-09-29,2018-09-30 to 2018-12-29,2018-09-30 to 2019-09-28,2018-12-30 to 2019-03-30,2019-03-31 to 2019-06-29,2019-06-30 to 2019-09-28,2019-09-29 to 2019-12-28,2019-09-29 to 2020-09-26,2019-12-29 to 2020-03-28,2020-03-29 to 2020-06-27,2020-06-28 to 2020-09-26,2020-09-27 to 2021-09-25,2021-09-26 to 2022-09-24,2022-09-25 to 2023-09-30
CashAndCashEquivalentsAtCarryingValue(in USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease(in USD),2960000000,2523000000,-6612000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit(in USD),78000000,-368000000,-519000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DepreciationAmortizationAndAccretionNet(in USD),317000000,473000000,703000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EmployeeServiceShareBasedCompensationCashFlowEffectCashUsedToSettleAwards(in USD),-3000000,-124000000,-82000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities(in USD),377000000,757000000,270000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment(in USD),-12000000,-22000000,-26000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeTaxesPaidNet(in USD),863000000,1267000000,2997000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable(in USD),1494000000,596000000,92000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsReceivable(in USD),385000000,785000000,939000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInDeferredRevenue(in USD),1139000000,5642000000,6908000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInInventories(in USD),76000000,163000000,-54000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherOperatingAssets(in USD),-81000000,492000000,1346000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherOperatingLiabilities(in USD),612000000,1279000000,-184000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseOtherCurrentAssets(in USD),1540000000,1958000000,1050000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities(in USD),739000000,1116000000,663000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivities(in USD),-3249000000,-8189000000,-17434000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities(in USD),5470000000,9596000000,10159000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeLoss(in USD),3496000000,4834000000,5704000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsForProceedsFromOtherInvestingActivities(in USD),-49000000,10000000,74000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireAvailableForSaleSecurities(in USD),11719000000,22965000000,46724000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireBusinessesNetOfCashAcquired(in USD),0,220000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireIntangibleAssets(in USD),251000000,108000000,69000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireOtherInvestments(in USD),17000000,38000000,101000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireProductiveAssets(in USD),735000000,1091000000,1144000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfCommonStock(in USD),365000000,483000000,475000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities(in USD),6483000000,11804000000,19790000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromSaleOfAvailableForSaleSecurities(in USD),2941000000,4439000000,10888000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareBasedCompensation(in USD),242000000,516000000,710000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue(in iso4217_USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease(in iso4217_USD),,,,,,,,,5998000000.0,,,,,-1446000000.0,,,,,931000000.0,,,,,3513000000.0,,,,,-415000000.0,,,,,7276000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit(in iso4217_USD),,,,,,,,,1440000000.0,,,,,2868000000.0,,,,,4405000000.0,,,,,1141000000.0,,,,,2347000000.0,,,,,1382000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DepreciationAmortizationAndAccretionNet(in iso4217_USD),,,,,,,,,1027000000.0,,,,,1814000000.0,,,,,3277000000.0,,,,,6757000000.0,,,,,7946000000.0,,,,,11257000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EmployeeServiceShareBasedCompensationCashFlowEffectCashUsedToSettleAwards(in iso4217_USD),,,,,,,,,-406000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities(in iso4217_USD),,,,,,,,,751000000.0,,,,,1133000000.0,,,,,1351000000.0,,,,,701000000.0,,,,,739000000.0,,,,,749000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment(in iso4217_USD),,,,,,,,,-24000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeTaxesPaidNet(in iso4217_USD),,,,,,,,,2697000000.0,,,,,3338000000.0,,,,,7682000000.0,,,,,9128000000.0,,,,,10026000000.0,,,,,13252000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable(in iso4217_USD),,,,,,,,,6307000000.0,,,,,2515000000.0,,,,,4467000000.0,,,,,2340000000.0,,,,,5938000000.0,,,,,5400000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsReceivable(in iso4217_USD),,,,,,,,,2142000000.0,,,,,-143000000.0,,,,,5551000000.0,,,,,2172000000.0,,,,,4232000000.0,,,,,-611000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInDeferredRevenue(in iso4217_USD),,,,,,,,,1217000000.0,,,,,1654000000.0,,,,,2824000000.0,,,,,1459000000.0,,,,,1460000000.0,,,,,1042000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInInventories(in iso4217_USD),,,,,,,,,596000000.0,,,,,-275000000.0,,,,,15000000.0,,,,,973000000.0,,,,,76000000.0,,,,,238000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherOperatingAssets(in iso4217_USD),,,,,,,,,120000000.0,,,,,1391000000.0,,,,,3162000000.0,,,,,-1080000000.0,,,,,-167000000.0,,,,,179000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherOperatingLiabilities(in iso4217_USD),,,,,,,,,778000000.0,,,,,4495000000.0,,,,,2552000000.0,,,,,4521000000.0,,,,,6010000000.0,,,,,8746000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherReceivables(in iso4217_USD),,,,,,,,,2718000000.0,,,,,1934000000.0,,,,,1414000000.0,,,,,-223000000.0,,,,,2220000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseOtherCurrentAssets(in iso4217_USD),,,,,,,,,1514000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities(in iso4217_USD),,,,,,,,,1257000000.0,,,,,1444000000.0,,,,,-1698000000.0,,,,,-16379000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivities(in iso4217_USD),,,,,,,,,-13854000000.0,,,,,-40419000000.0,,,,,-48227000000.0,,,,,-33774000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities(in iso4217_USD),,,,,,,,,18595000000.0,,,,,37529000000.0,,,,,50856000000.0,,,,,53666000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeLoss(in iso4217_USD),,,,2255000000,1620000000,1828000000,2532000000,3378000000,14013000000,3074000000,3253000000,4308000000,6004000000,25922000000,5987000000,7308000000,6623000000,13064000000,41733000000,11622000000,8824000000,8223000000,13078000000,37037000000,9547000000,6900000000,7512000000,13072000000,39510000000,10223000000,7748000000,8467000000,18024000000,53394000000,13569000000,10677000000,11124000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsForProceedsFromOtherInvestingActivities(in iso4217_USD),,,,,,,,,2000000.0,,,,,259000000.0,,,,,48000000.0,,,,,160000000.0,,,,,-16000000.0,,,,,26000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireAvailableForSaleSecuritiesDebt(in iso4217_USD),,,,,,,,,57793000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireBusinessesNetOfCashAcquired(in iso4217_USD),,,,,,,,,638000000.0,,,,,244000000.0,,,,,350000000.0,,,,,496000000.0,,,,,3765000000.0,,,,,343000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireIntangibleAssets(in iso4217_USD),,,,,,,,,116000000.0,,,,,3192000000.0,,,,,1107000000.0,,,,,911000000.0,,,,,242000000.0,,,,,241000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireOtherInvestments(in iso4217_USD),,,,,,,,,18000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireProductiveAssets(in iso4217_USD),,,,,,,,,2005000000.0,,,,,4260000000.0,,,,,8295000000.0,,,,,8165000000.0,,,,,9571000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfCommonStock(in iso4217_USD),,,,,,,,,912000000.0,,,,,831000000.0,,,,,665000000.0,,,,,530000000.0,,,,,730000000.0,,,,,543000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities(in iso4217_USD),,,,,,,,,24930000000.0,,,,,20437000000.0,,,,,13035000000.0,,,,,20317000000.0,,,,,18810000000.0,,,,,14538000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt(in iso4217_USD),,,,,,,,,21788000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
