,2006-10-01 to 2007-09-29,2007-09-30 to 2008-09-27,2008-09-28 to 2009-09-26,2008-09-28 to 2008-12-27,2008-12-28 to 2009-03-28,2009-03-29 to 2009-06-27,2009-06-28 to 2009-09-26,2009-09-27 to 2009-12-26,2009-09-27 to 2010-09-25,2009-12-27 to 2010-03-27,2010-03-28 to 2010-06-26,2010-06-27 to 2010-09-25,2010-09-26 to 2010-12-25,2010-09-26 to 2011-09-24,2010-12-26 to 2011-03-26,2011-03-27 to 2011-06-25,2011-06-26 to 2011-09-24,2011-09-25 to 2011-12-31,2011-09-25 to 2012-09-29,2012-01-01 to 2012-03-31,2012-04-01 to 2012-06-30,2012-07-01 to 2012-09-29,2012-09-30 to 2012-12-29,2012-09-30 to 2013-09-28,2012-12-30 to 2013-03-30,2013-03-31 to 2013-06-29,2013-06-30 to 2013-09-28,2013-09-29 to 2013-12-28,2013-09-29 to 2014-09-27,2013-12-29 to 2014-03-29,2014-03-30 to 2014-06-28,2014-06-29 to 2014-09-27,2014-09-28 to 2014-12-27,2014-09-28 to 2015-09-26,2014-12-28 to 2015-03-28,2015-03-29 to 2015-06-27,2015-06-28 to 2015-09-26,2015-09-27 to 2015-12-26,2015-09-27 to 2016-09-24,2015-12-27 to 2016-03-26,2016-03-27 to 2016-06-25,2016-06-26 to 2016-09-24,2016-09-25 to 2016-12-31,2016-09-25 to 2017-09-30,2017-01-01 to 2017-04-01,2017-04-02 to 2017-07-01,2017-07-02 to 2017-09-30,2017-10-01 to 2017-12-30,2017-10-01 to 2018-09-29,2017-12-31 to 2018-03-31,2018-04-01 to 2018-06-30,2018-07-01 to 2018-09-29,2018-09-30 to 2018-12-29,2018-09-30 to 2019-09-28,2018-12-30 to 2019-03-30,2019-03-31 to 2019-06-29,2019-06-30 to 2019-09-28,2019-09-29 to 2019-12-28,2019-09-29 to 2020-09-26,2019-12-29 to 2020-03-28,2020-03-29 to 2020-06-27,2020-06-28 to 2020-09-26,2020-09-27 to 2021-09-25,2021-09-26 to 2022-09-24,2022-09-25 to 2023-09-30
ShareBasedCompensation(in iso4217_USD),,,,,,,,,879000000.0,,,,,1168000000.0,,,,,1740000000.0,,,,,2253000000.0,,,,,2863000000.0,,,,,3586000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EmployeeServiceShareBasedCompensationCashUsedToPayTaxesForEquityNetShareSettlement(in iso4217_USD),,,,,,,,,,,,,,520000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireAvailableForSaleSecurities(in iso4217_USD),,,,,,,,,,,,,,102317000000.0,,,,,151232000000.0,,,,,148489000000.0,,,,,217128000000.0,,,,,166402000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromSaleOfAvailableForSaleSecurities(in iso4217_USD),,,,,,,,,,,,,,49416000000.0,,,,,99770000000.0,,,,,104130000000.0,,,,,189301000000.0,,,,,107447000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsOfDividendsAndDividendEquivalentsOnCommonStockAndRestrictedStockUnits(in iso4217_USD),,,,,,,,,,,,,,,,,,,2488000000.0,,,,,10564000000.0,,,,,11126000000.0,,,,,11561000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation(in iso4217_USD),,,,,,,,,,,,,,,,,,,1226000000.0,,,,,1082000000.0,,,,,1158000000.0,,,,,1499000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsForRepurchaseOfCommonStock(in iso4217_USD),,,,,,,,,,,,,,,,,,,,,,,,22860000000.0,,,,,45000000000.0,,,,,35253000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfLongTermDebt(in iso4217_USD),,,,,,,,,,,,,,,,,,,,,,,,16896000000.0,,,,,11960000000.0,,,,,27114000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations(in iso4217_USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,59713000000.0,,,,,81266000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations(in iso4217_USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22579000000.0,,,,,-56274000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromRepaymentsOfCommercialPaper(in iso4217_USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,6306000000.0,,,,,2191000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations(in iso4217_USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37549000000.0,,,,,-17716000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestPaid(in iso4217_USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,339000000.0,,,,,514000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInNonTradeReceivables(in iso4217_USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3735000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment(in iso4217_USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11247000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeLoss(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18361000000,45687000000,10516000000,7796000000,9014000000,17891000000,48351000000,11029000000,8717000000,10714000000,20065000000,59531000000,13822000000,11519000000,14125000000,19965000000,55256000000,11561000000,10044000000,13686000000,22236000000,57411000000,11249000000,11253000000,12673000000,94680000000,99803000000,96995000000
DepreciationAmortizationAndAccretionNet(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10505000000.0,,,,,10157000000.0,,,,,,,,,,,,,,,,,,,,,
ShareBasedCompensation(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4210000000.0,,,,,4840000000.0,,,,,5340000000.0,,,,,6068000000.0,,,,,6829000000.0,,,,7906000000,9038000000,10833000000
DeferredIncomeTaxExpenseBenefit(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4938000000.0,,,,,5966000000.0,,,,,-32590000000.0,,,,,-340000000.0,,,,,-215000000.0,,,,-4774000000,895000000,
IncreaseDecreaseInAccountsReceivable(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1095000000.0,,,,,2093000000.0,,,,,5322000000.0,,,,,-245000000.0,,,,,-6917000000.0,,,,10125000000,1823000000,1688000000
IncreaseDecreaseInInventories(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-217000000.0,,,,,2723000000.0,,,,,-828000000.0,,,,,289000000.0,,,,,127000000.0,,,,2642000000,-1484000000,1618000000
IncreaseDecreaseInOtherReceivables(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51000000.0,,,,,4254000000.0,,,,,8010000000.0,,,,,-2931000000.0,,,,,-1553000000.0,,,,3903000000,7520000000,-1271000000
IncreaseDecreaseInOtherOperatingAssets(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1090000000.0,,,,,5318000000.0,,,,,423000000.0,,,,,-873000000.0,,,,,9588000000.0,,,,8042000000,6499000000,5684000000
IncreaseDecreaseInAccountsPayable(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791000000.0,,,,,9618000000.0,,,,,9175000000.0,,,,,-1923000000.0,,,,,-4062000000.0,,,,12326000000,9448000000,-1889000000
IncreaseDecreaseInDeferredRevenue(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1554000000.0,,,,,-626000000.0,,,,,-44000000.0,,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherOperatingLiabilities(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2104000000.0,,,,,-154000000.0,,,,,38490000000.0,,,,,-4700000000.0,,,,,8916000000.0,,,,5799000000,5632000000,3031000000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65824000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireAvailableForSaleSecurities(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142428000000.0,,,,,159486000000.0,,,,,71356000000.0,,,,,,,,,,,,,,,,
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21258000000.0,,,,,31775000000.0,,,,,55881000000.0,,,,,40102000000.0,,,,,69918000000.0,,,,59023000000,29917000000,39686000000
ProceedsFromSaleOfAvailableForSaleSecurities(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90536000000.0,,,,,94564000000.0,,,,,47838000000.0,,,,,,,,,,,,,,,,
PaymentsToAcquireBusinessesNetOfCashAcquired(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297000000.0,,,,,329000000.0,,,,,721000000.0,,,,,624000000.0,,,,,1524000000.0,,,,33000000,306000000,
PaymentsToAcquirePropertyPlantAndEquipment(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12734000000.0,,,,,12451000000.0,,,,,13313000000.0,,,,,10495000000.0,,,,,7309000000.0,,,,11085000000,10708000000,10959000000
PaymentsToAcquireIntangibleAssets(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814000000.0,,,,,344000000.0,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireOtherInvestments(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1388000000.0,,,,,395000000.0,,,,,1871000000.0,,,,,1001000000.0,,,,,210000000.0,,,,131000000,,
PaymentsForProceedsFromOtherInvestingActivities(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000000.0,,,,,-220000000.0,,,,,745000000.0,,,,,1078000000.0,,,,,791000000.0,,,,608000000,1780000000,1337000000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-45977000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfCommonStock(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495000000.0,,,,,555000000.0,,,,,669000000.0,,,,,781000000.0,,,,,880000000.0,,,,1105000000,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407000000.0,,,,,627000000.0,,,,,,,,,,,,,,,,,,,,,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570000000.0,,,,,1874000000.0,,,,,2527000000.0,,,,,2817000000.0,,,,,3634000000.0,,,,6556000000,6223000000,5431000000
PaymentsOfDividendsAndDividendEquivalentsOnCommonStockAndRestrictedStockUnits(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12150000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsForRepurchaseOfCommonStock(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29722000000.0,,,,,32900000000.0,,,,,72738000000.0,,,,,66897000000.0,,,,,72358000000.0,,,,85971000000,89402000000,77550000000
ProceedsFromIssuanceOfLongTermDebt(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24954000000.0,,,,,28662000000.0,,,,,6969000000.0,,,,,6963000000.0,,,,,16091000000.0,,,,20393000000,5465000000,5228000000
RepaymentsOfLongTermDebt(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000000.0,,,,,3500000000.0,,,,,6500000000.0,,,,,8805000000.0,,,,,12629000000.0,,,,8750000000,9543000000,11151000000
ProceedsFromRepaymentsOfCommercialPaper(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-397000000.0,,,,,3852000000.0,,,,,-37000000.0,,,,,-5977000000.0,,,,,-963000000.0,,,,1022000000,3955000000,-3978000000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20483000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-636000000.0,,,,,-195000000.0,,,,,5624000000.0,,,,,,,,,,,,,,,,
IncomeTaxesPaidNet(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10444000000.0,,,,,11591000000.0,,,,,10417000000.0,,,,,15263000000.0,,,,,9501000000.0,,,,25385000000,19573000000,18679000000
InterestPaid(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316000000.0,,,,,2092000000.0,,,,,,,,,,,,,,,,,,,,,
OtherNoncashIncomeExpense(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166000000.0,,,,,444000000.0,,,,,652000000.0,,,,,97000000.0,,,,147000000,-111000000,2227000000
NetCashProvidedByUsedInOperatingActivities(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63598000000.0,,,,,77434000000.0,,,,,69391000000.0,,,,,80674000000.0,,,,104038000000,122151000000,110543000000
NetCashProvidedByUsedInInvestingActivities(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-46446000000.0,,,,,16066000000.0,,,,,45896000000.0,,,,,-4289000000.0,,,,-14545000000,-22354000000,3705000000
PaymentsOfDividends(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12769000000.0,,,,,13712000000.0,,,,,14119000000.0,,,,,14081000000.0,,,,14467000000,14841000000,15025000000
NetCashProvidedByUsedInFinancingActivities(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17347000000.0,,,,,-87876000000.0,,,,,-90976000000.0,,,,,-86820000000.0,,,,-93353000000,-110749000000,-108488000000
DepreciationDepletionAndAmortization(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10903000000.0,,,,,12547000000.0,,,,,11056000000.0,,,,11284000000,11104000000,11519000000
ProceedsFromSaleAndMaturityOfOtherInvestments(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353000000.0,,,,,1634000000.0,,,,,92000000.0,,,,387000000,,
InterestPaidNet(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3022000000.0,,,,,3423000000.0,,,,,3002000000.0,,,,2687000000,2865000000,3803000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInContractWithCustomerLiability(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-625000000.0,,,,,2081000000.0,,,,1676000000,478000000,
PaymentsToAcquireAvailableForSaleSecuritiesDebt(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39630000000.0,,,,,114938000000.0,,,,109558000000,76923000000,29513000000
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56988000000.0,,,,,50473000000.0,,,,47460000000,37446000000,5828000000
ProceedsFromPaymentsForOtherFinancingActivities(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-105000000.0,,,,,-126000000.0,,,,-129000000,-160000000,-581000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24311000000.0,,,,,-10435000000.0,,,,-3860000000,-10952000000,5760000000
