,2006-09-30,2006-10-01 to 2007-09-29,2007-09-29,2007-09-30 to 2008-09-27,2008-09-27,2008-09-28 to 2009-09-26,2009-09-26,2008-09-28 to 2008-12-27,2008-12-28 to 2009-03-28,2009-03-29 to 2009-06-27,2009-06-28 to 2009-09-26,2009-09-27 to 2009-12-26,2009-09-27 to 2010-09-25,2009-12-27 to 2010-03-27,2010-03-28 to 2010-06-26,2010-06-27 to 2010-09-25,2010-09-25,2010-09-26 to 2011-09-24,2011-09-24,2011-09-25 to 2011-12-31,2011-09-25 to 2012-09-29,2012-01-01 to 2012-03-31,2012-04-01 to 2012-06-30,2012-07-01 to 2012-09-29,2012-09-29,2012-09-30 to 2012-12-29,2012-09-30 to 2013-09-28,2012-12-30 to 2013-03-30,2013-03-31 to 2013-06-29,2013-06-30 to 2013-09-28,2013-09-28,2013-09-29 to 2013-12-28,2013-09-29 to 2014-09-27,2013-12-29 to 2014-03-29,2014-03-30 to 2014-06-28,2014-06-29 to 2014-09-27,2014-09-27,2014-09-28 to 2014-12-27,2014-09-28 to 2015-09-26,2014-12-28 to 2015-03-28,2015-03-29 to 2015-06-27,2015-06-28 to 2015-09-26,2015-09-26,2015-09-27 to 2015-12-26,2015-09-27 to 2016-09-24,2015-12-27 to 2016-03-26,2016-03-27 to 2016-06-25,2016-06-26 to 2016-09-24,2016-09-24,2016-09-25 to 2016-12-31,2016-09-25 to 2017-09-30,2017-01-01 to 2017-04-01,2017-04-02 to 2017-07-01,2017-07-02 to 2017-09-30,2017-09-30,2017-10-01 to 2017-12-30,2017-10-01 to 2018-09-29,2017-12-31 to 2018-03-31,2018-04-01 to 2018-06-30,2018-07-01 to 2018-09-29,2018-09-29,2018-09-30 to 2018-12-29,2018-09-30 to 2019-09-28,2018-12-30 to 2019-03-30,2019-03-31 to 2019-06-29,2019-06-30 to 2019-09-28,2019-09-28,2019-09-29 to 2019-12-28,2019-09-29 to 2020-09-26,2019-12-29 to 2020-03-28,2020-03-29 to 2020-06-27,2020-06-28 to 2020-09-26,2020-09-26,2020-09-27 to 2021-09-25,2021-09-25,2021-09-26 to 2022-09-24,2022-09-24,2022-09-25 to 2023-09-30,2023-09-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue(in USD),,251000000.0,,513000000.0,,707000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation(in USD),,398000000.0,,770000000.0,,-78000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax(in USD),,3537000000.0,,4779000000.0,,5780000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CumulativeEffectOfInitialAdoptionOfNewAccountingPrinciple(in USD),,,,56000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeLoss(in USD),,3496000000.0,,4834000000.0,,5704000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecrease(in USD),,-7000000.0,,-63000000.0,,118000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease(in USD),,-3000000.0,,19000000.0,,12000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease(in USD),,51000000.0,,-11000000.0,,-54000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SharesIssued(in Shares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockholdersEquity(in USD),9984000000.0,,14532000000.0,,21030000000.0,,27832000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodSharesShareBasedCompensation(in Shares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodValueAcquisitions(in USD),,,,21000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodValueShareBasedCompensation(in USD),,362000000.0,,359000000.0,,393000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue(in iso4217_USD),,,,,,,,,,,,,876000000.0,,,,,1168000000.0,,,1740000000.0,,,,,,2253000000.0,,,,,,2863000000.0,,,,,,3586000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation(in iso4217_USD),,,,,,,,,,,,,879000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CommonStockSharesOutstanding(in shares),,,,,,,,,,,,,,,,,915970050.0,,,,,,,,939208000.0,,,,,,899213000.0,,,,,,5866161000.0,,,,,,5578753000.0,,,,,,5336166000.0,,,,,,5126201000.0,,,,,,4754986000.0,,,,,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax(in iso4217_USD),,,,,,,,,,,,,13890000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CumulativeEffectOfInitialAdoptionOfFIN48(in iso4217_USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeLoss(in iso4217_USD),,,,,,,,2255000000.0,1620000000.0,1828000000.0,2532000000.0,3378000000.0,14013000000.0,3074000000.0,3253000000.0,4308000000.0,,25922000000.0,,13064000000.0,41733000000.0,11622000000.0,8824000000.0,8223000000.0,,13078000000.0,37037000000.0,9547000000.0,6900000000.0,7512000000.0,,13072000000.0,39510000000.0,10223000000.0,7748000000.0,8467000000.0,,18024000000.0,53394000000.0,13569000000.0,10677000000.0,11124000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecrease(in iso4217_USD),,,,,,,,,,,,,123000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease(in iso4217_USD),,,,,,,,,,,,,-253000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease(in iso4217_USD),,,,,,,,,,,,,7000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SharesOfStockIssuedDuringPeriodShareBasedCompensationNetOfSharesWithheldForTaxes(in shares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockholdersEquity(in iso4217_USD),,,,,,,,,,,,,,,,,47791000000.0,,76615000000.0,,,,,,118210000000.0,,,,,,123549000000.0,,,,,,111547000000.0,,,,,,119355000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodSharesAcquisitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodValueAcquisitions(in iso4217_USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodValueShareBasedCompensationNetOfSharesWithheldForTaxes(in iso4217_USD),,,,,,,,,,,,,506000000.0,,,,,311000000.0,,,-562000000.0,,,,,,-587000000.0,,,,,,-448000000.0,,,,,,-840000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossNetOfTax(in iso4217_USD),,,,,,,,,,,,,,,,,,489000000.0,,,56000000.0,,,,,,-970000000.0,,,,,,1553000000.0,,,,,,-1427000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DividendsAndDividendEquivalentsDeclaredOnCommonStockAndRestrictedStockUnits(in iso4217_USD),,,,,,,,,,,,,,,,,,,,,2523000000.0,,,,,,10676000000.0,,,,,,11215000000.0,,,,,,11627000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreasuryStockValueAcquiredCostMethod(in iso4217_USD),,,,,,,,,,,,,,,,,,,,,,,,,,,22950000000.0,,,,,,45000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensationIncludingTransferPricing(in iso4217_USD),,,,,,,,,,,,,,,,,,934000000.0,,,1151000000.0,,,,,,1232000000.0,,,,,,735000000.0,,,,,,748000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreasuryStockSharesAcquired(in shares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockRepurchasedAndRetiredDuringPeriodShares(in shares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405500000.0,,,,,,,,,,,,,,,,,,,,,,
StockRepurchasedAndRetiredDuringPeriodValue(in iso4217_USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36026000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockholdersEquity(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128249000000.0,,,,,,134047000000.0,,,,,,107147000000.0,,,,,,90488000000.0,,,,,,65339000000.0,,63090000000.0,,50672000000.0,,62146000000.0
NetIncomeLoss(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18361000000.0,45687000000.0,10516000000.0,7796000000.0,9014000000.0,,17891000000.0,48351000000.0,11029000000.0,8717000000.0,10714000000.0,,20065000000.0,59531000000.0,13822000000.0,11519000000.0,14125000000.0,,19965000000.0,55256000000.0,11561000000.0,10044000000.0,13686000000.0,,22236000000.0,57411000000.0,11249000000.0,11253000000.0,12673000000.0,,94680000000.0,,99803000000.0,,96995000000.0,
OtherComprehensiveIncomeLossNetOfTax(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DividendsAndDividendEquivalentsDeclaredOnCommonStockAndRestrictedStockUnits(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12188000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockRepurchasedAndRetiredDuringPeriodValue(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29000000000.0,,,,,,33001000000.0,,,,,,73100000000.0,,,,,,67100000000.0,,,,,,72500000000.0,,,,,85500000000.0,,90200000000.0,,76600000000.0,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4262000000.0,,,,,,4909000000.0,,,,,,5443000000.0,,,,,,,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodValueShareBasedCompensationNetOfSharesWithheldForTaxes(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1225000000.0,,,,,,-1494000000.0,,,,,,-2057000000.0,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensationIncludingTransferPricing(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379000000.0,,,,,,620000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-784000000.0,,,,,,-3026000000.0,,,,,,2781000000.0,,,,,,42000000.0,,,,,569000000.0,,-11272000000.0,,-343000000.0,
Dividends(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12803000000.0,,,,,,13735000000.0,,,,,,,,,,,,,,,,,,,,,,
TaxCutsAndJobsActOf2017ReclassificationFromAociToRetainedEarningsTaxEffect(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodValueNewIssues(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CommonStockDividendsPerShareDeclared(in usdPerShare),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,0.0,,,,,0.0,,0.0,,0.0,
